,modelname,manufacturer,category,programurl
442,Right Angle Straight Bevel Gear Reducer Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/pump-impeller-sample-board
443,Right Angle Straight Bevel Gear Reducer Dissectible,DAC Worldwide,Chemical Engineering,https://tech-labs.com/products/pumpjack-model
444,Right Angle Worm Gear Reducer Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/reciprocating-compressor-model
445,Rod Pump Stuffing Box Assembly Replica Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/representative-triplex-plunger-mud-pump-dissectible
446,"Rotary Drilling Bit Replica Set, 9-Piece",DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/right-angle-spiral-bevel-gear-reducer-cutaway
447,Rotary Kiln Maintenance Training System,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/right-angle-spiral-bevel-gear-reducer-dissectible
448,Screw Pump Dissectible (Imo),DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/right-angle-straight-bevel-gear-reducer-cutaway
449,"Shaft Mounted, Hollow-Shaft Helical Gear Reducer Dissectible",DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/right-angle-straight-bevel-gear-reducer-dissectible
450,"Shaft-Mounted, Hollow-Shaft Helical Gear Reducer Cutaway",DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/right-angle-worm-gear-reducer-dissectible
451,Shunt Wound DC Motor Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/rod-pump-stuffing-box-assembly-replica-model
452,Sight Flow Indicator Sample Dissectible,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/rotary-drilling-bit-replica-set-9-piece
453,Single Phase Capacitor-Start AC Motor Cutaway,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/rotary-kiln-maintenance-training-system
454,Single-Phase PSC AC Motor Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/screw-pump-dissectible-imo
455,Single-Phase Transformer Cutaway,DAC Worldwide,DAC Models,https://tech-labs.com/products/shaft-mounted-hollow-shaft-helical-gear-reducer-dissectible
456,Sliding Vane Pump Dissectible,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/shaft-mounted-hollow-shaft-helical-gear-reducer-cutaway
457,Spherical Roller Bearing Pillow Block Assembly Cutaway,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/shunt-wound-dc-motor-cutaway
458,Steam Trap Cutaway Assortment,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/sight-flow-indicator-sample-dissectible
459,Steam Turbine Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/single-phase-capacitor-start-ac-motor-cutaway
460,Stirred Liquid-Liquid Extraction,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/single-phase-psc-ac-motor-cutaway
461,Submersible Vertical Turbine Pump Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/single-phase-transformer-cutaway
462,Submersible Vertical Turbine Pump Dissectible (Goulds/IR/Durco/Aurora),DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/sliding-vane-pump-dissectible
463,Sucker Rod Pump Model,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/spherical-roller-bearing-pillow-block-assembly-cutaway
464,Surge Suppressor Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/surge-suppressor-model
465,Temperature Process Control Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/temperature-process-control-training-system-plus
466,Temperature Regulator Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/temperature-regulator-cutaway
467,Three-Phase Squirrel-Cage AC Motor Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-squirrel-cage-ac-motor-cutaway
468,Three-Phase Squirrel-Cage Explosion-Proof AC Motor Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-squirrel-cage-explosion-proof-ac-motor-cutaway
469,Three-Phase Transformer Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/three-phase-transformer-cutaway
470,Transformer Connections Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/transformer-connections-training-system
471,Treater Dump Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/treater-dump-valve-cutaway
472,U-Tube Heat Exchanger Training Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/u-tube-heat-exchanger-training-model
473,Urethane Tire Coupling Cutaway,DAC Worldwide,DAC Cutaways,https://tech-labs.com/products/urethane-tire-coupling-cutaway
474,Valve Packing Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/valve-packing-training-system
475,Valve Packing Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/valve-packing-training-system-plus
476,Variable Area Flow Meter Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/variable-area-flow-meter-dissectible
477,Variable Speed Gear Reducer Cutaway,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/variable-speed-gear-reducer-cutaway
478,Vertical Centrifugal Pump Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/vertical-centrifugal-pump-dissectible
479,Vertical Coupling / Shaft Alignment Training,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training
480,Vertical Coupling Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training-system-plus
481,Vertical Cross-Flow Separator Model,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/vertical-cross-flow-separator-model
482,Vertical Separator Trainer,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-separator-trainer
483,Vertical Separator Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vertical-separator-training-system-plus
484,Vertical Thermosyphon Reboiler Heat Exchanger Training Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/vertical-thermosyphon-reboiler-heat-exchanger-training-model
485,Vibration Analysis Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system
486,Vibration Analysis Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system-plus
487,Water Tube Boiler Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/water-tube-boiler-model
488,Weld Fault Comparison Kit,DAC Worldwide,DAC Sample Boards,https://tech-labs.com/products/weld-fault-comparison-kit
489,Wellhead Backpressure Regulator Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/wellhead-backpressure-regulator-cutaway
490,Wrap-Spring Clutch Sample,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/wrap-spring-clutch-sample
491,Vibration Analysis Training System,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system
492,Vibration Analysis Training System Plus,DAC Worldwide,DAC Training Systems,https://tech-labs.com/products/vibration-analysis-training-system-plus
493,Water Tube Boiler Model,DAC Worldwide,DAC Models,https://tech-labs.com/products/water-tube-boiler-model
494,Weld Fault Comparison Kit,DAC Worldwide,DAC Sample Boards,https://tech-labs.com/products/weld-fault-comparison-kit
495,Wellhead Backpressure Regulator Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,https://tech-labs.com/products/wellhead-backpressure-regulator-cutaway
496,Wrap-Spring Clutch Sample,DAC Worldwide,Mechanical Drives,https://tech-labs.com/products/wrap-spring-clutch-sample
